"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P4";"Socket_Strip_Straight_1x02";1;"ARU";;;
2;"F1";"Fuseholder5x20_horiz_SemiClosed_Casing10x25mm";1;"15A";;;
3;",,";"MountingHole_2.7mm_M2.5_ISO14580";3;"MountingHole_2.7mm_M2.5_ISO14580";;;
4;"P3";"Pin_Header_Straight_2x16";1;"ALIM_PW1";;;
5;"Q5";"SOT-428";1;"Q_PMOS_GDS";;;
6;"R14";"R_0603_HandSoldering";1;"10k";;;
7;"R16";"R_0603_HandSoldering";1;"8k";;;
8;"P1";"WireConnection_2.50mm";1;"BAT1+";;;
9;"P2";"WireConnection_2.50mm";1;"BAT1-";;;
10;"P5";"WireConnection_2.50mm";1;"BAT2+";;;
11;"P6";"WireConnection_2.50mm";1;"BAT2-";;;
12;"C1,C2,C3";"C_2220_HandSoldering";3;"15uF";;;
13;"C4,C11,C31";"C_0603_HandSoldering";3;"100nF";;;
14;"C5";"C_1206_HandSoldering";1;"470nF";;;
15;"C6";"C_0603_HandSoldering";1;"100pF";;;
16;"C7,C13";"C_0603_HandSoldering";2;"820pF";;;
17;"C8";"C_0603_HandSoldering";1;"3.3nF";;;
18;"C9,C15";"C_0805_HandSoldering";2;"15nF";;;
19;"C10,C23";"C_0603_HandSoldering";2;"470nF";;;
20;"C12";"C_0603_HandSoldering";1;"82pF";;;
21;"C14";"C_0603_HandSoldering";1;"4.7nF";;;
22;"C16,C17,C18,C19,C32,C33,C34";"c_elec_6.3x7.7";7;"270uF";;;
23;"C20,C21,C22,C24,C25";"Tantalum_Case-B_EIA-3528-21_Hand";5;"100uF";;;
24;"D1,D2";"D_0805";2;"500mV@50V";;;
25;"L1";"Inductor_Wurth_HCI-1365";1;"6.1uH";;;
26;"L2";"Inductor_Wurth_HCI-1365";1;"10uH";;;
27;"Q1,Q2,Q3,Q4";"TDSON8_MOSFET";4;"Q_NMOS_DGS";;;
28;"R1";"R_0603_HandSoldering";1;"3.24k";;;
29;"R2";"R_0603_HandSoldering";1;"54.9k";;;
30;"R3";"R_0603_HandSoldering";1;"38.3k";;;
31;"R4";"R_0603_HandSoldering";1;"41.2k";;;
32;"R5";"R_0603_HandSoldering";1;"147k";;;
33;"R6";"R_2010_HandSoldering";1;"5M1.5W";;;
34;"R7";"R_0603_HandSoldering";1;"28k";;;
35;"R8";"R_0603_HandSoldering";1;"7.15k";;;
36;"R9";"R_0603_HandSoldering";1;"1.1k";;;
37;"R10";"R_0603_HandSoldering";1;"402k";;;
38;"R11";"R_2010_HandSoldering";1;"3M1W";;;
39;"R12";"R_0603_HandSoldering";1;"14k";;;
40;"R13";"R_0603_HandSoldering";1;"1k";;;
41;"U1";"QFN-32-1EP_5x5mm_Pitch0.5mm";1;"LM25119";;;
